millis,rot_x,rot_y,rot_z,angvel_x,angvel_y,angvel_z,target_mot_x,target_mot_y,target_mot_z,target_angular_vel_x,target_angular_vel_y,target_angular_vel_z,target_rot_x,target_rot_y,target_rot_z
3035,0.0620,-0.0722,1.4378,0.0117,0.0039,0.0039,-0.0000,0.0000,-2.8759,-0.1222,0.0048,-1.4340,0.0000,-0.0000,0.0000
3037,0.0620,-0.0722,1.4378,0.0117,0.0039,0.0039,-0.0000,0.0000,-2.8759,-0.1222,0.0048,-1.4340,0.0000,-0.0000,0.0000
3041,0.0620,-0.0722,1.4378,0.0117,0.0039,0.0039,0.0000,0.0000,-2.8759,-0.1222,0.0048,-1.4340,0.0000,-0.0000,0.0000
3043,0.0620,-0.0722,1.4378,0.0117,0.0039,0.0039,0.0000,0.0000,-2.8759,-0.1223,0.0048,-1.4355,0.0000,-0.0000,0.0000
3044,0.0620,-0.0722,1.4378,0.0117,0.0039,0.0039,-0.0000,0.0000,-2.8788,-0.1223,0.0048,-1.4355,0.0000,-0.0000,0.0000
3048,0.0620,-0.0722,1.4378,0.0117,0.0039,0.0039,0.0000,0.0000,-2.8788,-0.1223,0.0048,-1.4355,0.0000,-0.0000,0.0000
3050,0.0620,-0.0722,1.4378,0.0117,0.0039,0.0039,0.0000,0.0000,-2.8788,-0.1224,0.0048,-1.4369,0.0000,-0.0000,0.0000
3053,0.0620,-0.0722,1.4378,0.0117,0.0039,0.0039,-0.0000,0.0000,-2.8816,-0.1224,0.0048,-1.4369,0.0000,-0.0000,0.0000
3055,0.0620,-0.0722,1.4378,0.0117,0.0039,0.0039,-0.0000,0.0000,-2.8816,-0.1224,0.0048,-1.4369,0.0000,-0.0000,0.0000
3069,0.0619,-0.0721,1.4381,-0.0039,-0.0020,0.0000,0.0000,0.0000,-2.8772,-0.1223,0.0049,-1.4386,0.0000,-0.0000,0.0000
3071,0.0619,-0.0721,1.4381,-0.0039,-0.0020,0.0000,0.0000,0.0000,-2.8772,-0.1223,0.0049,-1.4386,0.0000,-0.0000,0.0000
3074,0.0619,-0.0721,1.4381,-0.0039,-0.0020,0.0000,0.0000,0.0000,-2.8772,-0.1223,0.0049,-1.4386,0.0000,-0.0000,0.0000
3114,0.0619,-0.0721,1.4382,0.0078,0.0000,-0.0078,-0.0000,0.0000,-2.8820,-0.1232,0.0049,-1.4488,0.0000,-0.0000,0.0000
3134,0.0619,-0.0721,1.4383,-0.0078,0.0059,-0.0020,0.0000,0.0000,-2.9054,-0.1237,0.0049,-1.4546,0.0000,-0.0000,0.0000
3146,0.0620,-0.0723,1.4385,0.0059,0.0000,0.0039,0.0000,0.0000,-2.9199,-0.1242,0.0049,-1.4576,0.0000,-0.0000,0.0000
3172,0.0619,-0.0724,1.4388,0.0059,-0.0059,0.0020,-0.0000,0.0000,-2.9313,-0.1248,0.0052,-1.4637,0.0000,-0.0000,0.0000
3184,0.0619,-0.0724,1.4390,0.0059,0.0098,0.0000,0.0000,0.0000,-2.9335,-0.1250,0.0052,-1.4668,0.0000,-0.0000,0.0000
3200,0.0619,-0.0724,1.4390,-0.0039,0.0039,0.0039,0.0000,0.0000,-2.9471,-0.1253,0.0052,-1.4696,0.0000,-0.0000,0.0000
3212,0.0619,-0.0724,1.4390,-0.0039,0.0000,0.0059,0.0000,0.0000,-2.9567,-0.1255,0.0052,-1.4725,0.0000,-0.0000,0.0000
3221,0.0619,-0.0724,1.4392,0.0059,0.0020,0.0020,-0.0000,0.0000,-2.9521,-0.1257,0.0052,-1.4741,0.0000,-0.0000,0.0000
3233,0.0619,-0.0724,1.4392,0.0020,0.0078,0.0000,-0.0000,0.0000,-2.9539,-0.1259,0.0052,-1.4770,0.0000,-0.0000,0.0000
3259,0.0619,-0.0725,1.4393,0.0039,-0.0039,-0.0098,-0.0000,0.0000,-2.9491,-0.1267,0.0054,-1.4843,0.0000,-0.0000,0.0000
3268,0.0619,-0.0725,1.4393,0.0000,-0.0039,0.0039,0.0000,0.0000,-2.9795,-0.1268,0.0054,-1.4858,0.0000,-0.0000,0.0000
3282,0.0619,-0.0727,1.4395,-0.0156,0.0137,-0.0020,0.0000,0.0000,-2.9765,-0.1274,0.0055,-1.4902,0.0000,-0.0000,0.0000
3302,0.0617,-0.0727,1.4395,0.0059,0.0059,-0.0078,-0.0000,0.0000,-2.9734,-0.1275,0.0055,-1.4945,0.0000,-0.0000,0.0000
3317,0.0617,-0.0727,1.4396,-0.0020,-0.0078,0.0020,-0.0000,0.0000,-3.0017,-0.1280,0.0056,-1.4989,0.0000,-0.0000,0.0000
3329,0.0617,-0.0727,1.4397,0.0059,0.0078,-0.0020,-0.0000,0.0000,-2.9998,-0.1282,0.0056,-1.5018,0.0000,-0.0000,0.0000
3338,0.0617,-0.0727,1.4397,0.0000,-0.0078,0.0039,-0.0000,0.0000,-3.0144,-0.1284,0.0057,-1.5033,0.0000,-0.0000,0.0000
3359,0.0619,-0.0728,1.4398,-0.0059,0.0059,-0.0059,0.0000,0.0000,-3.0064,-0.1291,0.0057,-1.5091,0.0000,-0.0000,0.0000
3368,0.0619,-0.0728,1.4397,0.0000,-0.0059,0.0000,-0.0000,0.0000,-3.0208,-0.1293,0.0057,-1.5104,0.0000,-0.0000,0.0000
3385,0.0619,-0.0729,1.4398,0.0059,-0.0059,0.0059,0.0000,0.0000,-3.0412,-0.1296,0.0057,-1.5147,0.0000,-0.0000,0.0000
3397,0.0619,-0.0729,1.4398,-0.0039,-0.0039,-0.0059,0.0000,0.0000,-3.0236,-0.1300,0.0058,-1.5177,0.0000,-0.0000,0.0000
3408,0.0619,-0.0729,1.4398,-0.0078,0.0020,0.0039,0.0000,0.0000,-3.0489,-0.1303,0.0058,-1.5205,0.0000,-0.0000,0.0000
3422,0.0619,-0.0729,1.4399,0.0000,-0.0098,0.0039,-0.0000,0.0000,-3.0548,-0.1305,0.0058,-1.5235,0.0000,-0.0000,0.0000
3441,0.0617,-0.0731,1.4399,-0.0020,0.0000,0.0098,0.0000,0.0000,-3.0780,-0.1311,0.0061,-1.5292,0.0000,-0.0000,0.0000
3449,0.0617,-0.0731,1.4399,-0.0059,0.0020,0.0039,0.0000,0.0000,-3.0691,-0.1312,0.0061,-1.5307,0.0000,-0.0000,0.0000
3457,0.0617,-0.0731,1.4399,-0.0156,0.0039,-0.0078,0.0000,0.0000,-3.0486,-0.1313,0.0061,-1.5321,0.0000,-0.0000,0.0000
3473,0.0616,-0.0732,1.4399,-0.0020,0.0020,-0.0020,-0.0000,0.0000,-3.0689,-0.1317,0.0063,-1.5364,0.0000,-0.0000,0.0000
3485,0.0616,-0.0732,1.4399,0.0039,-0.0039,0.0039,-0.0000,0.0000,-3.0863,-0.1319,0.0063,-1.5393,0.0000,-0.0000,0.0000
3497,0.0616,-0.0732,1.4399,0.0098,0.0098,-0.0117,-0.0000,0.0000,-3.0608,-0.1322,0.0064,-1.5421,0.0000,-0.0000,0.0000
3515,0.0616,-0.0732,1.4398,-0.0039,0.0020,0.0020,0.0000,0.0000,-3.0966,-0.1326,0.0064,-1.5464,0.0000,-0.0000,0.0000
3527,0.0615,-0.0733,1.4398,-0.0137,0.0020,-0.0020,-0.0000,0.0000,-3.0945,-0.1328,0.0066,-1.5492,0.0000,-0.0000,0.0000
3536,0.0616,-0.0733,1.4399,-0.0020,0.0000,-0.0059,0.0000,0.0000,-3.0897,-0.1330,0.0066,-1.5507,0.0000,-0.0000,0.0000
3557,0.0615,-0.0733,1.4399,0.0098,0.0020,-0.0020,-0.0000,0.0000,-3.1062,-0.1333,0.0066,-1.5550,0.0000,-0.0000,0.0000
3566,0.0615,-0.0733,1.4399,-0.0039,0.0000,0.0039,-0.0000,0.0000,-3.1236,-0.1336,0.0066,-1.5579,0.0000,-0.0000,0.0000
3586,0.0615,-0.0733,1.4399,0.0000,-0.0039,0.0059,0.0000,0.0000,-3.1361,-0.1340,0.0067,-1.5622,0.0000,-0.0000,0.0000
3595,0.0615,-0.0733,1.4398,-0.0039,-0.0059,0.0098,-0.0000,0.0000,-3.1466,-0.1342,0.0065,-1.5636,0.0000,-0.0000,0.0000
3603,0.0615,-0.0733,1.4398,0.0000,-0.0059,-0.0020,0.0000,0.0000,-3.1261,-0.1342,0.0067,-1.5650,0.0000,-0.0000,0.0000
3617,0.0615,-0.0735,1.4397,-0.0098,0.0117,0.0020,0.0000,0.0000,-3.1396,-0.1346,0.0068,-1.5679,0.0000,-0.0000,0.0000
3634,0.0615,-0.0735,1.4397,0.0059,-0.0059,-0.0059,-0.0000,0.0000,-3.1324,-0.1350,0.0068,-1.5721,0.0000,-0.0000,0.0000
3646,0.0613,-0.0735,1.4395,-0.0020,-0.0039,0.0059,0.0000,0.0000,-3.1614,-0.1351,0.0069,-1.5749,0.0000,-0.0000,0.0000
3665,0.0613,-0.0735,1.4395,-0.0059,0.0059,0.0000,0.0000,0.0000,-3.1581,-0.1355,0.0069,-1.5791,0.0000,-0.0000,0.0000
3685,0.0613,-0.0735,1.4395,0.0000,-0.0039,-0.0020,-0.0000,0.0000,-3.1628,-0.1358,0.0069,-1.5834,0.0000,-0.0000,0.0000
3693,0.0613,-0.0735,1.4395,0.0078,-0.0039,-0.0059,-0.0000,0.0000,-3.1608,-0.1361,0.0069,-1.5862,0.0000,-0.0000,0.0000
3708,0.0613,-0.0735,1.4395,0.0020,-0.0059,-0.0039,-0.0000,0.0000,-3.1704,-0.1363,0.0070,-1.5891,0.0000,-0.0000,0.0000
3728,0.0613,-0.0736,1.4395,0.0078,-0.0078,-0.0156,-0.0000,0.0000,-3.1555,-0.1369,0.0071,-1.5934,0.0000,-0.0000,0.0000
3734,0.0613,-0.0735,1.4394,0.0020,0.0020,0.0020,0.0000,0.0000,-3.1936,-0.1370,0.0071,-1.5948,0.0000,-0.0000,0.0000
3749,0.0613,-0.0736,1.4393,0.0039,-0.0039,0.0078,-0.0000,0.0000,-3.2135,-0.1373,0.0071,-1.5990,0.0000,-0.0000,0.0000
3789,0.0615,-0.0736,1.4392,0.0137,-0.0020,-0.0078,-0.0000,0.0000,-3.2022,-0.1384,0.0070,-1.6089,0.0000,-0.0000,0.0000
3808,0.0615,-0.0736,1.4392,-0.0020,0.0039,0.0078,0.0000,0.0000,-3.2419,-0.1387,0.0070,-1.6131,0.0000,-0.0000,0.0000
3816,0.0615,-0.0736,1.4392,0.0039,0.0059,-0.0039,-0.0000,0.0000,-3.2213,-0.1389,0.0070,-1.6145,0.0000,-0.0000,0.0000
3836,0.0615,-0.0735,1.4392,0.0000,0.0020,-0.0039,-0.0000,0.0000,-3.2328,-0.1392,0.0069,-1.6203,0.0000,-0.0000,0.0000
3851,0.0615,-0.0735,1.4391,0.0020,-0.0020,0.0020,0.0000,0.0000,-3.2501,-0.1395,0.0069,-1.6231,0.0000,-0.0000,0.0000
3871,0.0615,-0.0736,1.4390,0.0039,0.0020,-0.0039,-0.0000,0.0000,-3.2467,-0.1400,0.0070,-1.6273,0.0000,-0.0000,0.0000
3880,0.0613,-0.0736,1.4389,-0.0078,0.0039,-0.0039,0.0000,0.0000,-3.2523,-0.1401,0.0071,-1.6301,0.0000,-0.0000,0.0000
3889,0.0613,-0.0736,1.4389,-0.0020,0.0039,0.0020,-0.0000,0.0000,-3.2669,-0.1402,0.0071,-1.6315,0.0000,-0.0000,0.0000
3901,0.0613,-0.0736,1.4388,-0.0078,-0.0059,-0.0039,0.0000,0.0000,-3.2608,-0.1405,0.0071,-1.6343,0.0000,-0.0000,0.0000
3926,0.0613,-0.0736,1.4388,0.0039,0.0000,0.0059,0.0000,0.0000,-3.2918,-0.1410,0.0072,-1.6400,0.0000,-0.0000,0.0000
3944,0.0613,-0.0736,1.4387,-0.0117,0.0059,0.0059,0.0000,0.0000,-3.3002,-0.1413,0.0072,-1.6442,0.0000,-0.0000,0.0000
